"country" "intercept" "slope" "n" "slope.SE" "p.value" "r.squared" "continent"
"16" "Bulgaria" -218.647251748249 0.14568881118881 12 0.0419645738214095 0.0060039023165432 0.546542166446901 "Europe"
"17" "Burkina Faso" -675.794166433569 0.363974825174826 12 0.0342372780657303 9.04750585098841e-07 0.918710500751084 "Africa"
"18" "Burundi" -260.291445687646 0.154134265734266 12 0.0269400018269631 0.000192567696716688 0.765995972542165 "Africa"
"19" "Cambodia" -735.786837062941 0.395902797202799 12 0.0941632450189793 0.0018158889847829 0.638692217105091 "Asia"
"20" "Cameroon" -447.037195804196 0.250146853146853 12 0.0542422290272896 0.000962781708619375 0.680178393423814 "Africa"
"21" "Canada" -358.348892307693 0.218869230769231 12 0.00416863786974605 1.52050301139841e-13 0.996385515874888 "Americas"
"22" "Central African Republic" -320.174207459207 0.183905594405594 12 0.058947184860101 0.0108769981533152 0.493244478326909 "Africa"
"23" "Chad" -454.523025407926 0.253244055944056 12 0.0306305327711114 8.81561566393078e-06 0.872375503323982 "Africa"
"24" "Chile" -876.481892074596 0.476844055944058 12 0.0199501083845526 3.73461002179458e-10 0.982797101022894 "Americas"
"25" "China" -988.764911804199 0.530714853146855 12 0.064507548318701 9.20621673170729e-06 0.871277339659605 "Asia"
"26" "Colombia" -689.79756713287 0.380750349650351 12 0.0219362862759908 8.53724285659984e-09 0.967873444605903 "Americas"
"27" "Comoros" -839.167054545458 0.450390909090911 12 0.00800529187657977 7.63303968297954e-14 0.996850763645229 "Africa"
"28" "Congo, Dem. Rep." -141.361753846153 0.0939153846153843 12 0.040632812072152 0.0434098141522274 0.348202776561068 "Africa"
"29" "Congo, Rep." -333.690227738927 0.195095804195804 12 0.0593146508638244 0.00816150229186582 0.519660785524973 "Africa"
"30" "Costa Rica" -727.140419347322 0.402789510489512 12 0.0254025033309167 2.04847037076963e-08 0.961747671785213 "Americas"
"31" "Cote d'Ivoire" -210.000708857808 0.130556643356643 12 0.0656548725701808 0.0748035022044155 0.283372403749897 "Africa"
"32" "Croatia" -376.241045920746 0.225459440559441 12 0.019192680922538 3.56825849711766e-07 0.932430470681396 "Europe"
"33" "Cuba" -564.672033799535 0.32115034965035 12 0.0291119594792199 6.41895247525667e-07 0.924067164735086 "Americas"
"34" "Czech Republic" -215.151553846153 0.144815384615384 12 0.0138062275943614 1.02435059876386e-06 0.916681908562621 "Europe"
"35" "Denmark" -165.802706759907 0.12133006993007 12 0.0066696666111189 5.40987875833804e-09 0.970667974294099 "Europe"
"36" "Djibouti" -680.894471328674 0.367403496503498 12 0.0188427353932264 2.75055194310846e-09 0.974371344009458 "Africa"
"37" "Dominican Republic" -871.091769930073 0.471152447552449 12 0.0259271927968316 5.46572520875753e-09 0.970607814836572 "Americas"
"38" "Ecuador" -927.038370862474 0.500053146853149 12 0.0116882315671898 1.16837219605976e-12 0.99456625809304 "Americas"
"39" "Egypt" -1043.27927272728 0.555454545454548 12 0.0173802124956921 2.11724585371812e-11 0.990304242312226 "Africa"
"40" "El Salvador" -884.867788344992 0.47714125874126 12 0.0324961253552634 4.29211282932146e-08 0.955672005497739 "Americas"
"41" "Equatorial Guinea" -571.022760839163 0.310170629370631 12 0.00549728455811019 7.41879093628091e-14 0.996868639798655 "Africa"
"42" "Eritrea" -695.700020279724 0.374690209790212 12 0.0250324774538622 3.56840581674339e-08 0.95727334044123 "Africa"
"43" "Ethiopia" -563.597580419582 0.307185314685316 12 0.0175181068995273 7.7312724217928e-09 0.968502633040452 "Africa"
"44" "Finland" -397.980966899768 0.237925174825175 12 0.00592421816489246 2.1913098303753e-12 0.993838349740384 "Europe"
"45" "France" -397.764601864804 0.2385013986014 12 0.00368024839414727 1.86306757176612e-14 0.997624584716037 "Europe"
"46" "Gabon" -833.087210489514 0.446732867132869 12 0.0678042948673957 6.16612511147345e-05 0.812766207220328 "Africa"
"47" "Gambia" -1107.32373449884 0.581825874125876 12 0.0191927743712209 3.57275820570362e-11 0.989235615599035 "Africa"
"48" "Germany" -349.541510955712 0.213683216783217 12 0.00695886446743914 3.14614998286141e-11 0.989505681934614 "Europe"
"49" "Ghana" -584.548923543126 0.321742657342658 12 0.0129331751129147 2.51858484828656e-10 0.984098734093654 "Africa"
"50" "Greece" -406.094864801866 0.242398601398602 12 0.013019316106424 4.31580468769613e-09 0.971960846722027 "Europe"
"51" "Guatemala" -994.926331235436 0.531273426573429 12 0.00972012495558582 1.01855871279518e-13 0.996663768495387 "Americas"
"52" "Guinea" -797.712674358978 0.424830769230771 12 0.02000112883671 1.19080714690643e-09 0.978315177180624 "Africa"
"53" "Guinea-Bissau" -498.725104195807 0.271753146853148 12 0.0107622110215635 2.17465399531083e-10 0.984558294054724 "Africa"
"54" "Haiti" -735.811144055946 0.397058041958043 12 0.0140616725584514 7.21304814603657e-11 0.987613376652164 "Americas"
"55" "Honduras" -1016.65420233101 0.542851748251751 12 0.026162408356261 1.49745633115762e-09 0.977300255404656 "Americas"
"56" "Hong Kong, China" -650.94602750583 0.36597062937063 12 0.0195331030356891 4.05909918918958e-09 0.972301827346734 "Asia"
"57" "Hungary" -175.369931934732 0.123648951048951 12 0.0198544938459951 9.78447654355876e-05 0.795018749543492 "Europe"
"58" "Iceland" -250.849434032634 0.165375524475525 12 0.00914526248260579 5.73296998322414e-09 0.970326566398619 "Europe"
"59" "India" -947.116794638698 0.505320979020981 12 0.0288485655947378 7.81298086328509e-09 0.96843651514596 "Asia"
"60" "Indonesia" -1201.93662167833 0.634641258741262 12 0.0107966845005855 4.93138591588936e-14 0.99711418086475 "Asia"
"61" "Iran" -924.462019813524 0.496639860139862 12 0.0111158794455888 7.58885071252827e-13 0.995015354323157 "Asia"
"62" "Iraq" -409.017413986014 0.235210489510489 12 0.0678542918249614 0.00605743972869411 0.545784202923826 "Asia"
"63" "Ireland" -321.139959440561 0.199119580419581 12 0.00799203297236385 2.48152998840189e-10 0.984145738640069 "Europe"
"64" "Israel" -455.091075058277 0.267106293706295 12 0.00611694488179789 9.53219266640498e-13 0.994782899498359 "Asia"
"65" "Italy" -459.878080652682 0.26971048951049 12 0.00696990538469598 3.1706016195173e-12 0.993366122681802 "Europe"
"66" "Jamaica" -369.500892540793 0.221394405594406 12 0.0343853284515521 7.45514772391574e-05 0.805659036392989 "Americas"
"67" "Japan" -623.74693892774 0.352904195804197 12 0.0228995447499443 2.69578416394488e-08 0.959595632201849 "Asia"
"68" "Jordan" -1071.95187249418 0.571729370629373 12 0.0319317502439719 6.31348401760752e-09 0.969750077647954 "Asia"
"69" "Kenya" -356.100976923077 0.206507692307692 12 0.0732911619546064 0.0182345440179983 0.442557286764718 "Africa"
"70" "Korea, Dem. Rep." -562.759068764569 0.316426573426573 12 0.0650291265870667 0.000655590666201846 0.70306306158288 "Asia"
"71" "Korea, Rep." -1034.4133 0.555400000000002 12 0.0196390213819123 7.10402570521511e-11 0.987651009765115 "Asia"
"72" "Kuwait" -756.205248484851 0.416836363636365 12 0.0294834645796495 6.16634551818667e-08 0.952354230040507 "Asia"
"73" "Lebanon" -450.841972494173 0.261029370629371 12 0.0205336064859954 1.69552144074828e-07 0.941725816976682 "Asia"
"74" "Lesotho" -139.165287645686 0.0955657342657335 12 0.0992440896718817 0.35828637060018 0.084856353660368 "Africa"
"75" "Liberia" -147.543291608392 0.0959937062937064 12 0.0296503211027045 0.00890665088834034 0.511756396879912 "Africa"
"76" "Libya" -1178.94368088579 0.625535664335667 12 0.0257543428991464 3.1887658951792e-10 0.983331491384015 "Africa"
"77" "Madagascar" -751.40893729604 0.403727972027974 12 0.00936013025051908 1.07735839734066e-12 0.994653642677939 "Africa"
"78" "Malawi" -420.298534498836 0.234225874125875 12 0.0323317179665113 2.77657538874106e-05 0.839954462786421 "Africa"
"79" "Malaysia" -855.242463170165 0.464522377622379 12 0.0349217352224928 1.10286542664053e-07 0.946506390816726 "Asia"
"80" "Mali" -702.481479720283 0.376809790209792 12 0.00805472654941194 4.80078061901896e-13 0.995451404578608 "Africa"
"81" "Mauritania" -831.381323310027 0.446417482517484 12 0.00681591273461219 1.67607732454652e-14 0.997674296009331 "Africa"
"82" "Mauritius" -624.81113846154 0.348453846153847 12 0.0291048040562059 2.98539339287339e-07 0.934784568945526 "Africa"
"83" "Mexico" -827.414879953383 0.451034965034966 12 0.0174788457925242 1.75570885321561e-10 0.985204438872809 "Americas"
"84" "Mongolia" -812.492784149187 0.438688111888113 12 0.0157255677175674 8.13182946358929e-11 0.98731309083124 "Asia"
"85" "Montenegro" -509.697101864803 0.293001398601399 12 0.0460573958312902 8.22747931405712e-05 0.801865208996002 "Europe"
"86" "Morocco" -1016.21593030303 0.542472727272729 12 0.0126599492454442 1.15034760588141e-12 0.994583120241524 "Africa"
"87" "Mozambique" -403.989180419581 0.224485314685315 12 0.0383287614912766 0.000160120663709408 0.774279315560168 "Africa"
"88" "Myanmar" -803.990093473195 0.433095104895105 12 0.0507235638075914 6.62678995109251e-06 0.879377501867621 "Asia"
"89" "Namibia" -404.097084848484 0.231163636363636 12 0.0829686269697281 0.0192462505060222 0.437021633263709 "Africa"
"90" "Nepal" -998.686882051287 0.529261538461541 12 0.0154581022982465 1.06917839340317e-11 0.991541708050436 "Asia"
"91" "Netherlands" -194.92284895105 0.136686713286714 12 0.00581623269530246 4.4109577352901e-10 0.982215658119654 "Europe"
"92" "New Zealand" -307.69962797203 0.19282097902098 12 0.0134525776005922 5.40732438121234e-08 0.953584643215479 "Oceania"
"93" "Nicaragua" -1043.2810927739 0.556519580419582 12 0.0100085023939093 8.58142576926629e-14 0.99677614920028 "Americas"
"94" "Niger" -632.646278787882 0.342109090909092 12 0.0365231644556175 2.88505103185364e-06 0.897686643734804 "Africa"
"95" "Nigeria" -368.284787645689 0.208065734265735 12 0.0254220636615992 9.6384266211213e-06 0.870105076227221 "Africa"
"96" "Norway" -185.334721678323 0.131941258741259 12 0.00818980376539522 1.75695477141716e-08 0.962900573922509 "Europe"
"97" "Oman" -1470.08570536131 0.772179020979025 12 0.0392652340373354 2.53034579841977e-09 0.97479460537632 "Asia"
"98" "Pakistan" -748.383623076926 0.405792307692309 12 0.00673900251684217 3.87736267082063e-14 0.997249652872308 "Asia"
"99" "Panama" -633.355145454547 0.354209090909092 12 0.025372095213281 6.95728006689348e-08 0.951195160344228 "Americas"
"100" "Paraguay" -244.67423939394 0.157354545454546 12 0.00654639714140166 3.53321932992539e-10 0.982986500018753 "Americas"
"101" "Peru" -985.718663869468 0.527697902097904 12 0.0180194645348854 5.03023424300086e-11 0.988474008847213 "Americas"
"102" "Philippines" -771.351592307694 0.420469230769232 12 0.0123675224527456 1.14666741335568e-11 0.991422597544861 "Asia"
"103" "Poland" -318.238358508158 0.196218881118881 12 0.0271147077175241 2.80233270285808e-05 0.839663146434136 "Europe"
"104" "Portugal" -597.070335198137 0.3372013986014 12 0.0190613904494141 7.09790675360518e-09 0.969035082954472 "Europe"
"105" "Puerto Rico" -344.093533100233 0.210574825174825 12 0.0212191122458414 1.70487604486978e-06 0.907819120323539 "Americas"
"106" "Reunion" -843.689040559444 0.459880419580421 12 0.0272533942862587 1.1223706971389e-08 0.966071804041473 "Africa"
"107" "Romania" -243.285401864802 0.157401398601399 12 0.0244536231014566 7.47322951543505e-05 0.805566659408898 "Europe"
"108" "Rwanda" 132.204975291377 -0.0458314685314696 12 0.109686008998281 0.68489269248491 0.0171596356083388 "Africa"
"109" "Sao Tome and Principe" -616.484710023312 0.340682517482518 12 0.0233152618607779 4.49644616399403e-08 0.955259359122883 "Africa"
"110" "Saudi Arabia" -1227.25013076924 0.64962307692308 12 0.0348123249399493 4.22133757172022e-09 0.972084389021307 "Asia"
"111" "Senegal" -948.427733333337 0.504700000000002 12 0.0155935930600404 1.86774203496213e-11 0.990544170563698 "Africa"
"112" "Serbia" -436.520501398601 0.255151048951049 12 0.0299635094780242 6.7872536145829e-06 0.87880537827725 "Europe"
"113" "Sierra Leone" -386.913046620048 0.214034965034966 12 0.0137887937636182 2.51507908959112e-08 0.960150540907732 "Africa"
"114" "Singapore" -603.563614685317 0.340886013986015 12 0.011906403989603 6.29037777110457e-11 0.987947511279091 "Asia"
"115" "Slovak Republic" -194.644125407924 0.134044055944055 12 0.0217394411170084 0.000106079824400245 0.791748218993023 "Europe"
"116" "Slovenia" -325.336065034967 0.200523776223777 12 0.0118885941448874 1.12711172913576e-08 0.966043272168425 "Europe"
"117" "Somalia" -413.451931235432 0.229573426573427 12 0.0311605399300564 2.4043683958937e-05 0.844428633399507 "Africa"
"118" "South Africa" -280.857945920746 0.16915944055944 12 0.0793485993435149 0.0588374402613938 0.312468652544073 "Africa"
"119" "Spain" -481.899041025641 0.280930769230769 12 0.0169451965527471 1.33175522694928e-08 0.964894556730617 "Europe"
"120" "Sri Lanka" -418.242392540793 0.244894405594406 12 0.0181898819602571 9.83290992704774e-08 0.947714694741225 "Asia"
"121" "Sudan" -709.30226643357 0.382774825174827 12 0.010772104266535 7.39552932431151e-12 0.992142427708358 "Africa"
"122" "Swaziland" -139.198199766898 0.0950748251748245 12 0.111121365377603 0.412253000536058 0.0682108676382032 "Africa"
"123" "Sweden" -252.923872727273 0.166254545454546 12 0.003541784006383 4.64058340385253e-13 0.995482162854487 "Europe"
"124" "Switzerland" -364.34210862471 0.222231468531469 12 0.00359435990374835 2.97892951766833e-14 0.997390859935785 "Europe"
"125" "Syria" -1036.00834592075 0.554359440559443 12 0.0222364167923608 2.46637628567527e-10 0.984165123290361 "Asia"
"126" "Taiwan" -577.444326340327 0.327244755244756 12 0.0219167065987356 3.65396700756893e-08 0.957071134080444 "Asia"
"127" "Tanzania" -297.882784149185 0.174688111888112 12 0.0306837985592691 0.000200178653326045 0.764218763569005 "Africa"
"128" "Thailand" -624.781764335666 0.347048251748253 12 0.0201512976045944 9.20905008822555e-09 0.967384398594252 "Asia"
"129" "Togo" -705.842723076925 0.382592307692309 12 0.0390153980857453 1.90131506186061e-06 0.905803726864085 "Africa"
"130" "Trinidad and Tobago" -276.935015384615 0.173661538461538 12 0.027629170994318 9.07791073439244e-05 0.798007444720414 "Americas"
"131" "Tunisia" -1102.91492447553 0.587843356643359 12 0.0260749679171479 6.63641884682512e-10 0.980704218184199 "Africa"
"132" "Turkey" -924.58988648019 0.497239860139862 12 0.0191844963896118 1.68085723443878e-10 0.985332644901382 "Europe"
"133" "Uganda" -193.06068135198 0.121586013986013 12 0.0533132432064032 0.0457392779362027 0.342153820280217 "Africa"
"134" "United Kingdom" -294.196587645689 0.185965734265735 12 0.00739435566087793 2.26228665886434e-10 0.984435961959535 "Europe"
"135" "United States" -291.084492307694 0.184169230769231 12 0.0069597737592532 1.36978795973672e-10 0.985920156045493 "Americas"
"136" "Uruguay" -292.005396037297 0.183272027972028 12 0.00892571106562169 1.65920074387963e-09 0.976830717475611 "Americas"
"137" "Venezuela" -586.103395571097 0.329721678321679 12 0.0247829073380952 1.10082859909724e-07 0.946526072383847 "Americas"
"138" "Vietnam" -1271.98315384616 0.671615384615388 12 0.0219705716422987 3.28941194879162e-11 0.989411887050693 "Asia"
"139" "West Bank and Gaza" -1129.55016759907 0.601100699300701 12 0.0331516808273135 5.58508868965977e-09 0.970480865776935 "Asia"
"140" "Yemen, Rep." -1151.72654592075 0.605459440559443 12 0.0265222188344678 5.86827352956495e-10 0.981172401793171 "Asia"
"141" "Zambia" 165.60796689977 -0.0604251748251762 12 0.075741997551115 0.443531781639329 0.0598364385973127 "Africa"
"142" "Zimbabwe" 236.798194638699 -0.093020979020981 12 0.120509676957373 0.458028982505962 0.0562319615092898 "Africa"
